"","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"sprr-1 X_+_15469324_15469480_15469520_15469871",0,-6.35010442459066,0.215720335321061,0,0,-0.423958333333333,-3.88471470210662,0,-0.264899099883856,-0.225957537066796,-0.424553571428571,0,0,-0.503991088915583,0,0,3.92540046016576,4.79826722983679,1.49496703432687,-2.12056184923804,0,-0.738681768179687,0,-0.325689935064935,-4.38846731982428,0,-0.035957429961425,3.50806363301789,0.458305966064587,0,0,-0.435909780578898,-0.277413048552754,0,0,3.96720275778201,2.9723265661831,-0.295386904761905,-0.657735242412396,0,-1.60648895010452,-0.37522416566331,0.1437314689243,0.617036124794745,0,1.23467357525045
"M01B12.4 I_-_3072972_3075135_3075267_3076562",0.712695692931609,1.652055032786,0,0.809529810629464,0,1.8436137144082,0.471637694968023,1.82344309555337,0,0.96113729449856,0,0,1.09584779423141,0.68117996548469,0.425897349525714,1.8436137144082,-0.608119418543283,0.397576093487067,0,0.528515420972447,0,-0.323774590535243,0.463981742676073,0.237643535167598,0.164738821940773,0,0.942707862303046,0,-6.34820516609873,-1.1357882402788,-3.83864328211065,0,-4.31555676300807,-1.32103154875055,0,0,0,0,0.820987842556711,0,1.11024628705053,0.701273968117145,0.404909792527299,0,0,-0.202113516898607
"denn-4 IV_+_1935604_1936376_1936415_1937423",9.46312687144407,0,0,3.87252745550882,-2.36363769600526,0,1.69034590739296,7.2380105765002,-0.459225344930346,-1.02515382769344,-5.41112858400848,-0.937098868020776,-6.30757824637963,-4.76945973854231,-2.30136823828285,-4.73470937787904,-2.87670798568143,2.5352224242343,-1.14341477636772,0.464569873648384,0,1.54444945638889,-1.19432354686316,3.64605763927844,-4.74180826876755,0,-0.985033572205481,5.05291795624905,-2.58866861764206,0,0,-1.24727133444324,-1.05558779868076,-1.9099002404254,-1.17916236008427,0,0,13.3731516988904,0.817112547406393,0,-3.26157255011818,-2.02303872465922,-1.75372797005435,-2.49147860509617,6.67486395726322,0.388699908626045
"top-1 I_+_13293024_13293528_13293744_13294233",-2.13981299585081,-1.14348095070298,-1.38967675286035,-1.11032437252731,-1.51294985006637,1.2516179962469,-0.399031787693205,-3.68446644186558,1.04028665404398,-3.17630710473844,0.590177348255951,-1.59191413545195,0,-5.82269982210955,-4.7847231552009,-5.60185862776213,-3.52143511319343,-1.99093872197654,-1.63970990693193,0,-1.44178143514796,0.654630860838558,3.49047613871611,-1.04556162976921,-1.59220990693193,11.5455401188601,-1.63233034692079,-6.27508762623676,1.39337497490043,1.6095988989275,13.9713856955599,6.24993733814295,9.47194617790107,2.32331639324039,0,0,-1.54914479196556,0.587539070733985,-0.71651448175597,1.1703679962469,-2.81489917778929,-3.55373374314149,6.02078117868182,0,0,-1.2403839627061
"unc-43 IV_-_10326644_10327601_10327715_10329095",1.18839356069503,2.61721411428022,1.91102595605404,2.03795052414027,1.3747575794225,1.74991991023307,0,0.590837786245964,1.15460693708761,1.17724245823057,0,0,0,0,0.429736647228362,-6.27317902654193,2.09008062217025,0,1.16705665015438,0,0,0,0,0,0,-0.134656519988149,0,0,1.00949062048043,0.127201885060026,0,1.17044531262772,0,0,-1.50593326763235,0,0,0,0,0,0,0,0,-5.62672735620855,-6.25546439373945,0
"NONE V_-_7730461_7730506_7730628_7731235",1.43392090882087,1.77457402762107,1.30648631062972,1.1826850598935,0.453760823112216,0,0,0,0,0.851872387156275,0,0,-6.25247119784645,0.923188405797101,0,-0.000483091787438994,0,0,0,0,0,0,0,0.732225449988608,0.827671952202978,1.25455127443114,0,0,0,0,0.192146084909243,0,0.436421670117322,0,0,-5.33687254192644,0,0.399709055246813,0.987411035928669,0,-2.00560485248363,0.393671253549188,0.445135984639259,0,0,0
"lea-1 V_+_10022534_10022676_10023048_10023557",0.537783092573709,1.26310477483955,-0.179443108200916,-0.413043872039348,3.80637621255642,0,0,-3.60286747449655,0.425569698771725,-0.137477643479076,-0.612812323939493,-0.116290816257766,-6.21189218631098,0.338034804249292,-0.13105038675263,0,1.2157524197739,0.978314115597001,-0.0421823531229795,0.897569744189461,0,-0.328473139095826,0.830229469572185,0.914122880564074,0.346689938243674,-0.093095269422956,-1.36268878966064,-0.0964246102007109,-0.0972642677711,0.0261208346207975,0.926692556533422,0.672814007940414,0.108530808427259,-0.527330363080758,-0.125471323725944,1.48222981935,0.33176293244118,-1.13353174291598,0.500616850791174,-1.05477154745674,-0.77454904207017,-0.722028940616776,-2.39539513281378,1.08307532650867,4.65216797973853,-1.17947393385131
"unc-25 III_+_12943969_12944960_12945088_12945997",0.196428571428571,0,0.193768996960486,0.196428571428571,0,0,0.196428571428571,0.196428571428571,0,0.196428571428571,0.196428571428571,0.196428571428571,0.196428571428571,0.196428571428571,0,0.210870884594135,0.196428571428571,0.196428571428571,0.196428571428571,0.196428571428571,0,0.156915748179123,0.188385627530364,0,0.188295696285387,0.182385361552028,0.196428571428571,0.196428571428571,0.196428571428571,0,0.196428571428571,0.196428571428571,0.179521004913956,0.193896925858951,0,-6.18958605591871,0.196428571428571,0.196428571428571,0.192396313364055,0,0.190341614906832,0.196428571428571,0.187807881773399,0,0,0
"tag-250 III_-_7921917_7922040_7922123_7923200",0,0.237286348708762,0.527527597649549,0,0,0,0.256036348708762,0,0,0,0,0,0.638528138528139,0.254366911279234,0,-6.18587534284601,0,1.6011618828968,0,0,0,-0.862332522708889,0,0.530606444209385,0.597662753912754,0,0,0.619631817457904,0,0.667099567099567,0.678879015721121,0,-0.438992084304584,0,0,0,0,0,0,0,0,0.225138888888889,1.26206696984136,0,0,-0.608792735042735
"madd-2 V_-_1226107_1226841_1226883_1226956",1.24465127012337,-0.770553144140488,0,-0.407248322779132,-0.998731133421442,-0.25737363606234,0.363320239696437,-4.26665443941821,0.488075083556465,0.177179991056189,-1.20715891859641,0.228969414156907,-0.900230778919483,3.27371284854083,-0.975316813333248,-0.600230778919483,17.5585936239691,-0.065222505035012,0,-0.489158939366631,0.149171434358928,-0.756412033752395,-2.33600281034553,-0.893059633074618,-1.09085954948397,-0.864205702222138,-0.367525346214051,-0.471659350348055,0.073245508433002,6.31044148065587,-1.04318399529375,-0.950316813333248,-1.35587946604654,-1.22464143607893,0.454957768833966,-0.600230778919483,5.72993295607685,-0.971348559364995,2.13134767907424,0,-1.64781916961044,-6.12112437750725,-0.0476316279815305,-2.6460392515853,-2.1229022022427,-1.73487778513532
